iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2024 62 1 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.1228 75.4321 30.9323 101.1214 0.0834 0.0000 0.0000 436.4376 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 2 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.5187 77.7098 30.3173 101.0391 0.1354 0.0000 0.0000 434.1749 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 3 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 0.6605 78.4161 30.1354 100.9914 0.0715 0.0000 0.0000 427.8589 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 4 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 0.5343 77.9070 30.0989 100.9952 0.0286 0.0000 0.0000 423.6080 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 5 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.3564 78.4862 30.0051 101.0343 0.0141 0.0000 0.0000 421.1300 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 6 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.0360 78.7663 29.9062 101.0869 0.0060 0.0711 0.0000 419.4173 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 7 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.6012 77.4948 30.0252 101.1668 0.0012 38.8178 0.0000 418.6697 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 8 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.8848 75.4949 30.2098 101.2647 0.0005 158.2578 0.0000 421.5083 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 9 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.7689 73.0921 30.5191 101.3348 0.0007 340.8533 0.0000 428.5095 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 10 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.3732 66.0168 32.0165 101.3622 0.0012 545.1111 0.0000 432.9688 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
