scenario,gridiv,time,QH,QE,QN,QS,T2,after_spinup,hour,name,type,paved,bldgs,green_fraction,green_blue_fraction,impervious_fraction
present,1,2024-03-02 00:00:00,-18.689778239361768,1.7746368599378386,-16.84568810440793,0.06945327501600121,27.355993878703917,False,0,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 01:00:00,-20.92363172563718,3.564665071920546,-16.03094563788411,1.3280210158325259,26.927321733652246,False,1,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 02:00:00,-21.661071322617456,4.440337515370863,-14.807591914675811,2.4131418925707817,26.402001897243085,False,2,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 03:00:00,-21.497341495932854,4.292198351741953,-14.78535790702213,2.4197852371687723,26.221489737104548,False,3,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 04:00:00,-21.08759060139239,3.8971639304252057,-14.870811186596711,2.3196154843704693,26.23191939643603,False,4,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 05:00:00,-19.830019643221853,3.56080674613926,-11.473156517492251,4.796056379590341,26.28984439656642,False,5,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 06:00:00,-12.86171690006403,4.64878137232798,18.703882101445803,26.916817629181853,26.726489236717608,False,6,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 07:00:00,6.949442780743546,9.386094030749005,101.46585725669142,85.13032044519888,27.719244902017397,False,7,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 08:00:00,42.15307012002566,13.911677424519958,229.02488993880925,172.96014239426367,28.40597384563006,False,8,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 09:00:00,87.53947961519755,15.02900949256343,369.2970934938962,266.7286043861352,29.9531257471501,False,9,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 10:00:00,125.02530632516601,14.065329566733434,475.1738710319132,336.0832351400138,32.340216221578466,False,10,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 11:00:00,149.39787374634372,11.41703342817348,538.0101599657909,377.1952527912736,34.17838462635477,False,11,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 12:00:00,156.5735065502066,7.365037150578157,540.6684963088495,376.7299526080648,34.57251390020556,False,12,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 13:00:00,147.8160742643706,6.039533384521504,504.99923202425816,351.1436243753661,34.129838571526356,False,13,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 14:00:00,132.574762190518,5.108014979676962,452.77591552662443,315.09313835642945,33.33914274114943,False,14,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 15:00:00,103.90186459421578,4.113384461745187,355.75552184849244,247.7402727925315,32.36671867967107,False,15,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 16:00:00,64.04128037237074,3.2550877133095617,225.9237467420047,158.62737865632442,31.596849870274614,False,16,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 17:00:00,20.76537618683046,2.383120442842603,90.70899066320771,67.56049403353465,30.768940593029154,False,17,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 18:00:00,-8.302088154408876,1.4634278299712538,6.396720798187823,13.235381122625446,29.46513875043912,False,18,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 19:00:00,-17.041443494936633,0.9043735654183002,-15.383222656960244,0.7538472725580898,28.339811566362865,False,19,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 20:00:00,-17.608223803592413,0.6992411465832976,-15.025899719530885,1.883082937478228,27.856955055691326,False,20,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 21:00:00,-17.36656348698341,0.6108514967727584,-13.469818499214584,3.285893490996067,27.619746276989,False,21,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 22:00:00,-16.931945188099267,0.5287179247405202,-12.008659641971171,4.394567621387573,27.313148264176565,False,22,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-02 23:00:00,-13.02544092725166,0.5668845483478324,-10.750569967187454,1.707986411716374,27.22504744945006,False,23,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 00:00:00,25.516095217864503,1.6455381279655945,-9.911103643935288,-37.07273698976539,28.671689507318685,False,0,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 01:00:00,25.917671839837933,1.5777607900792645,-9.138902621668281,-36.634335251585476,28.331126507623022,False,1,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 02:00:00,26.227764496111636,1.5178947713530146,-8.577495697469358,-36.323154964934005,28.00402584415366,False,2,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 03:00:00,26.292966171446924,1.488625708863138,-8.603950259518554,-36.38554213982862,27.80442729520927,False,3,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 04:00:00,26.20023339864777,1.4941734159525673,-8.953461416597332,-36.64786823119767,27.771178338805314,False,4,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 05:00:00,27.309882058459962,1.5966215215042723,-5.637738655305033,-34.544242235269266,27.76524396130405,False,5,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 06:00:00,39.80545130799583,1.916582944278364,29.167061754018576,-12.554972498255625,28.084787060887916,False,6,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
